appid,Game,Genre,Developer,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Players 2 Weeks,Players Forever
72850,The Elder Scrolls V: Skyrim,RPG,Bethesda Game Studios,21170.55,18942.08,16981.54,16341.49,15590.83,16630.14,16630.66,16275.74,14508.49,13580.95,13320.96,14458.95,14844.98,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,515748,11168816
482730,Football Manager 2017,Sports,Sports Interactive,37977.29,35075.12,34001.59,35341.5,36341.1,41965.15,40747.57,41248.59,36776.59,28059.91,18631.24,14515.24,13264.2,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,176608,1115448
236850,Europa Universalis IV,Strategy,Paradox Development Studio,11513.89,10735.5,9699.16,12101.47,10880.95,10625.5,9934.63,9501.41,9637.06,9787.4,11658.68,11773.05,11326.08,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,217305,1312277
381210,Dead by Daylight,Action,Behaviour Digital Inc.,15126.89,11338.16,9554.36,8416.03,8921.47,9956.68,10292.33,12362.26,14490.63,14883.44,14356.79,13605.69,14626.25,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,487081,2627625
646570,Slay the Spire,,Mega Crit Games,0,0,0,0,0,0.08,0.07,0,0.05,0.4,66.78,1237.48,9673.2,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,311752,353985
255710,Cities: Skylines,Simulation,Colossal Order Ltd.,6803.91,6617.02,5862.5,6721.74,8594.75,8374.38,8144.29,8402.67,7048.83,8425.15,8139.8,8419.33,8308.53,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,372157,4170517
394360,Hearts of Iron IV,Strategy,Paradox Development Studio,7617.67,6822.54,7174.9,8189.48,7981.87,10177.3,10010.83,9326.35,9550.2,9714.72,10470.87,11175.55,11670.3,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,291788,936536
386360,SMITE,MOBA,Hi-Rez Studios,10495.74,10988.97,10214.13,9858.24,8613.04,9290.75,8641.22,8653.33,8184.59,7945.72,8477.82,7836.95,8858.76,"$4,656,591.75 ","$4,058,821.52 ","$4,035,347.38 ","$3,885,062.48 ","$3,916,600.23 ","$4,256,226.45 ","$4,224,356.53 ","$4,078,783.51 ","$4,130,938.97 ","$4,135,538.06 ","$3,945,827.97 ","$3,878,218.75 ",$0 ,293068,5462830
374320,DARK SOULS III,RPG,"FromSoftware, Inc.",8960.74,6975.28,9364.67,18374.35,10681.84,7891.53,9491.29,6548.57,6656.59,5853.07,5128.28,8798.51,13745.66,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,392378,2262379
281990,Stellaris,Strategy,Paradox Development Studio,6894.22,6023.74,5042.45,17059.85,14152.65,9775.9,7894.73,6401.45,10062.6,10659.54,8379.55,9548.79,11293.75,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,250579,1413379
